
For lr 0.00000100 ,rs 1000000.0000 and bs 1000.000000 Train Accuracy 0.2793 and Validation Accuracy 0.2925
For lr 0.00000100 ,rs 10000000.0000 and bs 32.000000 Train Accuracy 0.2435 and Validation Accuracy 0.2630
For lr 0.00000100 ,rs 10000000.0000 and bs 64.000000 Train Accuracy 0.2491 and Validation Accuracy 0.2660
For lr 0.00000100 ,rs 10000000.0000 and bs 128.000000 Train Accuracy 0.2382 and Validation Accuracy 0.2520
For lr 0.00000100 ,rs 10000000.0000 and bs 150.000000 Train Accuracy 0.2400 and Validation Accuracy 0.2560
For lr 0.00000100 ,rs 10000000.0000 and bs 300.000000 Train Accuracy 0.2535 and Validation Accuracy 0.2640
For lr 0.00000100 ,rs 10000000.0000 and bs 600.000000 Train Accuracy 0.2468 and Validation Accuracy 0.2640
For lr 0.00000100 ,rs 10000000.0000 and bs 1000.000000 Train Accuracy 0.2247 and Validation Accuracy 0.2395
For lr 0.00000100 ,rs 0.1000 and bs 32.000000 Train Accuracy 0.2567 and Validation Accuracy 0.2710
For lr 0.00000100 ,rs 0.1000 and bs 64.000000 Train Accuracy 0.2601 and Validation Accuracy 0.2750
For lr 0.00000100 ,rs 0.1000 and bs 128.000000 Train Accuracy 0.2739 and Validation Accuracy 0.2860
For lr 0.00000100 ,rs 0.1000 and bs 150.000000 Train Accuracy 0.2776 and Validation Accuracy 0.2885
For lr 0.00000100 ,rs 0.1000 and bs 300.000000 Train Accuracy 0.2958 and Validation Accuracy 0.3000
For lr 0.00000100 ,rs 0.1000 and bs 600.000000 Train Accuracy 0.3180 and Validation Accuracy 0.3210
For lr 0.00000100 ,rs 0.1000 and bs 1000.000000 Train Accuracy 0.3345 and Validation Accuracy 0.3395
For lr 0.00000100 ,rs 0.0100 and bs 32.000000 Train Accuracy 0.2573 and Validation Accuracy 0.2720
For lr 0.00000100 ,rs 0.0100 and bs 64.000000 Train Accuracy 0.2606 and Validation Accuracy 0.2750
For lr 0.00000100 ,rs 0.0100 and bs 128.000000 Train Accuracy 0.2739 and Validation Accuracy 0.2895
For lr 0.00000100 ,rs 0.0100 and bs 150.000000 Train Accuracy 0.2772 and Validation Accuracy 0.2880
For lr 0.00000100 ,rs 0.0100 and bs 300.000000 Train Accuracy 0.2956 and Validation Accuracy 0.2995
For lr 0.00000100 ,rs 0.0100 and bs 600.000000 Train Accuracy 0.3182 and Validation Accuracy 0.3205
For lr 0.00000100 ,rs 0.0100 and bs 1000.000000 Train Accuracy 0.3352 and Validation Accuracy 0.3380
For lr 0.00000100 ,rs 0.0010 and bs 32.000000 Train Accuracy 0.2558 and Validation Accuracy 0.2685
For lr 0.00000100 ,rs 0.0010 and bs 64.000000 Train Accuracy 0.2595 and Validation Accuracy 0.2775
For lr 0.00000100 ,rs 0.0010 and bs 128.000000 Train Accuracy 0.2730 and Validation Accuracy 0.2875
For lr 0.00000100 ,rs 0.0010 and bs 150.000000 Train Accuracy 0.2776 and Validation Accuracy 0.2905
For lr 0.00000100 ,rs 0.0010 and bs 300.000000 Train Accuracy 0.2959 and Validation Accuracy 0.2995
For lr 0.00000100 ,rs 0.0010 and bs 600.000000 Train Accuracy 0.3177 and Validation Accuracy 0.3200
For lr 0.00000100 ,rs 0.0010 and bs 1000.000000 Train Accuracy 0.3349 and Validation Accuracy 0.3380
For lr 0.00000500 ,rs 0.0000 and bs 32.000000 Train Accuracy 0.2720 and Validation Accuracy 0.2815
For lr 0.00000500 ,rs 0.0000 and bs 64.000000 Train Accuracy 0.2918 and Validation Accuracy 0.2980
For lr 0.00000500 ,rs 0.0000 and bs 128.000000 Train Accuracy 0.3130 and Validation Accuracy 0.3140
For lr 0.00000500 ,rs 0.0000 and bs 150.000000 Train Accuracy 0.3179 and Validation Accuracy 0.3190
For lr 0.00000500 ,rs 0.0000 and bs 300.000000 Train Accuracy 0.3427 and Validation Accuracy 0.3450
For lr 0.00000500 ,rs 0.0000 and bs 600.000000 Train Accuracy 0.3603 and Validation Accuracy 0.3570
For lr 0.00000500 ,rs 0.0000 and bs 1000.000000 Train Accuracy 0.3520 and Validation Accuracy 0.3390
For lr 0.00000500 ,rs 1.0000 and bs 32.000000 Train Accuracy 0.2712 and Validation Accuracy 0.2750
For lr 0.00000500 ,rs 1.0000 and bs 64.000000 Train Accuracy 0.2920 and Validation Accuracy 0.2995
For lr 0.00000500 ,rs 1.0000 and bs 128.000000 Train Accuracy 0.3129 and Validation Accuracy 0.3140
For lr 0.00000500 ,rs 1.0000 and bs 150.000000 Train Accuracy 0.3180 and Validation Accuracy 0.3205
For lr 0.00000500 ,rs 1.0000 and bs 300.000000 Train Accuracy 0.3432 and Validation Accuracy 0.3430
For lr 0.00000500 ,rs 1.0000 and bs 600.000000 Train Accuracy 0.3602 and Validation Accuracy 0.3580
For lr 0.00000500 ,rs 1.0000 and bs 1000.000000 Train Accuracy 0.3525 and Validation Accuracy 0.3400
For lr 0.00000500 ,rs 10.0000 and bs 32.000000 Train Accuracy 0.2711 and Validation Accuracy 0.2780
For lr 0.00000500 ,rs 10.0000 and bs 64.000000 Train Accuracy 0.2920 and Validation Accuracy 0.2985
For lr 0.00000500 ,rs 10.0000 and bs 128.000000 Train Accuracy 0.3129 and Validation Accuracy 0.3160
For lr 0.00000500 ,rs 10.0000 and bs 150.000000 Train Accuracy 0.3172 and Validation Accuracy 0.3210
For lr 0.00000500 ,rs 10.0000 and bs 300.000000 Train Accuracy 0.3428 and Validation Accuracy 0.3460
For lr 0.00000500 ,rs 10.0000 and bs 600.000000 Train Accuracy 0.3604 and Validation Accuracy 0.3560
For lr 0.00000500 ,rs 10.0000 and bs 1000.000000 Train Accuracy 0.3521 and Validation Accuracy 0.3385
For lr 0.00000500 ,rs 100.0000 and bs 32.000000 Train Accuracy 0.2711 and Validation Accuracy 0.2790
For lr 0.00000500 ,rs 100.0000 and bs 64.000000 Train Accuracy 0.2914 and Validation Accuracy 0.3000
For lr 0.00000500 ,rs 100.0000 and bs 128.000000 Train Accuracy 0.3129 and Validation Accuracy 0.3135
For lr 0.00000500 ,rs 100.0000 and bs 150.000000 Train Accuracy 0.3178 and Validation Accuracy 0.3175
For lr 0.00000500 ,rs 100.0000 and bs 300.000000 Train Accuracy 0.3432 and Validation Accuracy 0.3455
For lr 0.00000500 ,rs 100.0000 and bs 600.000000 Train Accuracy 0.3602 and Validation Accuracy 0.3565
For lr 0.00000500 ,rs 100.0000 and bs 1000.000000 Train Accuracy 0.3523 and Validation Accuracy 0.3390
