
Here are test results on Softmax Classifier

For lr 0.00000020 ,rs 1.0000 and bs 1000.000000 Train Accuracy 0.3950 and Validation Accuracy 0.3275
For lr 0.00000080 ,rs 1.0000 and bs 32.000000 Train Accuracy 0.3341 and Validation Accuracy 0.2705
For lr 0.00000080 ,rs 1.0000 and bs 64.000000 Train Accuracy 0.3442 and Validation Accuracy 0.3030
For lr 0.00000080 ,rs 1.0000 and bs 128.000000 Train Accuracy 0.3597 and Validation Accuracy 0.3055
For lr 0.00000080 ,rs 1.0000 and bs 150.000000 Train Accuracy 0.3636 and Validation Accuracy 0.3110
For lr 0.00000080 ,rs 1.0000 and bs 300.000000 Train Accuracy 0.3762 and Validation Accuracy 0.3130
For lr 0.00000080 ,rs 1.0000 and bs 600.000000 Train Accuracy 0.3813 and Validation Accuracy 0.3135
For lr 0.00000080 ,rs 1.0000 and bs 1000.000000 Train Accuracy 0.3857 and Validation Accuracy 0.3320
For lr 0.00000006 ,rs 1.0000 and bs 32.000000 Train Accuracy 0.3283 and Validation Accuracy 0.2125
For lr 0.00000006 ,rs 1.0000 and bs 64.000000 Train Accuracy 0.3593 and Validation Accuracy 0.2440
For lr 0.00000006 ,rs 1.0000 and bs 128.000000 Train Accuracy 0.3765 and Validation Accuracy 0.3110
For lr 0.00000006 ,rs 1.0000 and bs 150.000000 Train Accuracy 0.3805 and Validation Accuracy 0.3020
For lr 0.00000006 ,rs 1.0000 and bs 300.000000 Train Accuracy 0.3990 and Validation Accuracy 0.3105
For lr 0.00000006 ,rs 1.0000 and bs 600.000000 Train Accuracy 0.4068 and Validation Accuracy 0.3175
For lr 0.00000006 ,rs 1.0000 and bs 1000.000000 Train Accuracy 0.4077 and Validation Accuracy 0.3275
For lr 0.00000900 ,rs 1.0000 and bs 32.000000 Train Accuracy 0.3150 and Validation Accuracy 0.2515
For lr 0.00000900 ,rs 1.0000 and bs 64.000000 Train Accuracy 0.3275 and Validation Accuracy 0.2895
For lr 0.00000900 ,rs 1.0000 and bs 128.000000 Train Accuracy 0.3532 and Validation Accuracy 0.3090
For lr 0.00000900 ,rs 1.0000 and bs 150.000000 Train Accuracy 0.3540 and Validation Accuracy 0.3060
For lr 0.00000900 ,rs 1.0000 and bs 300.000000 Train Accuracy 0.3659 and Validation Accuracy 0.3155
For lr 0.00000900 ,rs 1.0000 and bs 600.000000 Train Accuracy 0.3814 and Validation Accuracy 0.3245
For lr 0.00000900 ,rs 1.0000 and bs 1000.000000 Train Accuracy 0.3876 and Validation Accuracy 0.3235
For lr 0.00004000 ,rs 1.0000 and bs 32.000000 Train Accuracy 0.3164 and Validation Accuracy 0.2695
For lr 0.00004000 ,rs 1.0000 and bs 64.000000 Train Accuracy 0.3269 and Validation Accuracy 0.2980
For lr 0.00004000 ,rs 1.0000 and bs 128.000000 Train Accuracy 0.3516 and Validation Accuracy 0.3135
For lr 0.00004000 ,rs 1.0000 and bs 150.000000 Train Accuracy 0.3551 and Validation Accuracy 0.3120
For lr 0.00004000 ,rs 1.0000 and bs 300.000000 Train Accuracy 0.3687 and Validation Accuracy 0.3065
For lr 0.00004000 ,rs 1.0000 and bs 600.000000 Train Accuracy 0.3807 and Validation Accuracy 0.3190
For lr 0.00004000 ,rs 1.0000 and bs 1000.000000 Train Accuracy 0.3870 and Validation Accuracy 0.3215
For lr 0.00000300 ,rs 10.0000 and bs 32.000000 Train Accuracy 0.3146 and Validation Accuracy 0.2555
For lr 0.00000300 ,rs 10.0000 and bs 64.000000 Train Accuracy 0.3289 and Validation Accuracy 0.2855
For lr 0.00000300 ,rs 10.0000 and bs 128.000000 Train Accuracy 0.3513 and Validation Accuracy 0.3080
For lr 0.00000300 ,rs 10.0000 and bs 150.000000 Train Accuracy 0.3564 and Validation Accuracy 0.3070
For lr 0.00000300 ,rs 10.0000 and bs 300.000000 Train Accuracy 0.3708 and Validation Accuracy 0.3330
For lr 0.00000300 ,rs 10.0000 and bs 600.000000 Train Accuracy 0.3807 and Validation Accuracy 0.3295
For lr 0.00000300 ,rs 10.0000 and bs 1000.000000 Train Accuracy 0.3839 and Validation Accuracy 0.3280
For lr 0.00000020 ,rs 10.0000 and bs 32.000000 Train Accuracy 0.3530 and Validation Accuracy 0.2690
For lr 0.00000020 ,rs 10.0000 and bs 64.000000 Train Accuracy 0.3696 and Validation Accuracy 0.2900
For lr 0.00000020 ,rs 10.0000 and bs 128.000000 Train Accuracy 0.3839 and Validation Accuracy 0.3275
For lr 0.00000020 ,rs 10.0000 and bs 150.000000 Train Accuracy 0.3883 and Validation Accuracy 0.3200
For lr 0.00000020 ,rs 10.0000 and bs 300.000000 Train Accuracy 0.3948 and Validation Accuracy 0.3145
For lr 0.00000020 ,rs 10.0000 and bs 600.000000 Train Accuracy 0.3978 and Validation Accuracy 0.3250
For lr 0.00000020 ,rs 10.0000 and bs 1000.000000 Train Accuracy 0.3931 and Validation Accuracy 0.3265
For lr 0.00000080 ,rs 10.0000 and bs 32.000000 Train Accuracy 0.3325 and Validation Accuracy 0.2645
For lr 0.00000080 ,rs 10.0000 and bs 64.000000 Train Accuracy 0.3427 and Validation Accuracy 0.2930
For lr 0.00000080 ,rs 10.0000 and bs 128.000000 Train Accuracy 0.3611 and Validation Accuracy 0.3000
For lr 0.00000080 ,rs 10.0000 and bs 150.000000 Train Accuracy 0.3671 and Validation Accuracy 0.3150
For lr 0.00000080 ,rs 10.0000 and bs 300.000000 Train Accuracy 0.3733 and Validation Accuracy 0.3185
For lr 0.00000080 ,rs 10.0000 and bs 600.000000 Train Accuracy 0.3802 and Validation Accuracy 0.3150
For lr 0.00000080 ,rs 10.0000 and bs 1000.000000 Train Accuracy 0.3863 and Validation Accuracy 0.3255
For lr 0.00000006 ,rs 10.0000 and bs 32.000000 Train Accuracy 0.3269 and Validation Accuracy 0.2090
For lr 0.00000006 ,rs 10.0000 and bs 64.000000 Train Accuracy 0.3552 and Validation Accuracy 0.2460
For lr 0.00000006 ,rs 10.0000 and bs 128.000000 Train Accuracy 0.3762 and Validation Accuracy 0.3030
For lr 0.00000006 ,rs 10.0000 and bs 150.000000 Train Accuracy 0.3808 and Validation Accuracy 0.3085
For lr 0.00000006 ,rs 10.0000 and bs 300.000000 Train Accuracy 0.3979 and Validation Accuracy 0.3000
For lr 0.00000006 ,rs 10.0000 and bs 600.000000 Train Accuracy 0.4075 and Validation Accuracy 0.3175
For lr 0.00000006 ,rs 10.0000 and bs 1000.000000 Train Accuracy 0.4096 and Validation Accuracy 0.3190
For lr 0.00000900 ,rs 10.0000 and bs 32.000000 Train Accuracy 0.3184 and Validation Accuracy 0.2525
For lr 0.00000900 ,rs 10.0000 and bs 64.000000 Train Accuracy 0.3282 and Validation Accuracy 0.2895
For lr 0.00000900 ,rs 10.0000 and bs 128.000000 Train Accuracy 0.3532 and Validation Accuracy 0.3095
For lr 0.00000900 ,rs 10.0000 and bs 150.000000 Train Accuracy 0.3543 and Validation Accuracy 0.3115
For lr 0.00000900 ,rs 10.0000 and bs 300.000000 Train Accuracy 0.3678 and Validation Accuracy 0.3130
For lr 0.00000900 ,rs 10.0000 and bs 600.000000 Train Accuracy 0.3779 and Validation Accuracy 0.3280
For lr 0.00000900 ,rs 10.0000 and bs 1000.000000 Train Accuracy 0.3851 and Validation Accuracy 0.3215
For lr 0.00004000 ,rs 10.0000 and bs 32.000000 Train Accuracy 0.3170 and Validation Accuracy 0.2735
For lr 0.00004000 ,rs 10.0000 and bs 64.000000 Train Accuracy 0.3279 and Validation Accuracy 0.2915
For lr 0.00004000 ,rs 10.0000 and bs 128.000000 Train Accuracy 0.3516 and Validation Accuracy 0.3025
For lr 0.00004000 ,rs 10.0000 and bs 150.000000 Train Accuracy 0.3525 and Validation Accuracy 0.3130
For lr 0.00004000 ,rs 10.0000 and bs 300.000000 Train Accuracy 0.3683 and Validation Accuracy 0.2990
For lr 0.00004000 ,rs 10.0000 and bs 600.000000 Train Accuracy 0.3802 and Validation Accuracy 0.3215
For lr 0.00004000 ,rs 10.0000 and bs 1000.000000 Train Accuracy 0.3863 and Validation Accuracy 0.3275
